timestamp,open,high,low,close
2026-08-17 07:00:00+09:00,159.374,159.436,159.368,159.435
2026-08-17 07:05:00+09:00,159.435,159.437,159.429,159.435
2026-08-17 07:10:00+09:00,159.435,159.449,159.431,159.438
2026-08-17 07:15:00+09:00,159.438,159.446,159.422,159.423
2026-08-17 07:20:00+09:00,159.423,159.423,159.361,159.367
2026-08-17 07:25:00+09:00,159.367,159.377,159.36,159.362
2026-08-17 07:30:00+09:00,159.362,159.362,159.319,159.334
2026-08-17 07:35:00+09:00,159.334,159.344,159.28,159.297
2026-08-17 07:40:00+09:00,159.297,159.323,159.294,159.316
2026-08-17 07:45:00+09:00,159.316,159.318,159.288,159.292
2026-08-17 07:50:00+09:00,159.292,159.296,159.258,159.27
2026-08-17 07:55:00+09:00,159.27,159.303,159.2,159.204
2026-08-17 08:00:00+09:00,159.204,159.205,159.15,159.164
2026-08-17 08:05:00+09:00,159.164,159.193,159.163,159.18
2026-08-17 08:10:00+09:00,159.18,159.215,159.176,159.207
2026-08-17 08:15:00+09:00,159.207,159.247,159.204,159.246
2026-08-17 08:20:00+09:00,159.246,159.248,159.228,159.232
2026-08-17 08:25:00+09:00,159.232,159.233,159.22,159.22
2026-08-17 08:30:00+09:00,159.22,159.231,159.217,159.227
2026-08-17 08:35:00+09:00,159.227,159.227,159.205,159.216
2026-08-17 08:40:00+09:00,159.216,159.216,159.176,159.191
2026-08-17 08:45:00+09:00,159.191,159.199,159.182,159.194
2026-08-17 08:50:00+09:00,159.194,159.257,159.194,159.257
2026-08-17 08:55:00+09:00,159.257,159.257,159.231,159.234
2026-08-17 09:00:00+09:00,159.234,159.255,159.162,159.164
2026-08-17 09:05:00+09:00,159.164,159.191,159.15,159.175
2026-08-17 09:10:00+09:00,159.175,159.177,159.134,159.154
2026-08-17 09:15:00+09:00,159.154,159.156,159.107,159.123
2026-08-17 09:20:00+09:00,159.123,159.123,159.047,159.062
2026-08-17 09:25:00+09:00,159.062,159.1,159.037,159.097
2026-08-17 09:30:00+09:00,159.097,159.1,159.044,159.058
2026-08-17 09:35:00+09:00,159.058,159.09,159.046,159.066
2026-08-17 09:40:00+09:00,159.066,159.085,159.051,159.083
2026-08-17 09:45:00+09:00,159.082,159.091,159.073,159.086
