timestamp,open,high,low,close
2026-08-24 07:00:00+09:00,158.9,158.989,158.9,158.955
2026-08-24 07:05:00+09:00,158.955,158.956,158.915,158.921
2026-08-24 07:10:00+09:00,158.921,158.964,158.92,158.955
2026-08-24 07:15:00+09:00,158.955,158.977,158.955,158.975
2026-08-24 07:20:00+09:00,158.975,158.999,158.974,158.997
2026-08-24 07:25:00+09:00,158.997,159.007,158.988,158.988
2026-08-24 07:30:00+09:00,158.988,159.011,158.982,159.011
2026-08-24 07:35:00+09:00,159.011,159.012,158.998,158.998
2026-08-24 07:40:00+09:00,158.998,159.007,158.993,159.005
2026-08-24 07:45:00+09:00,159.005,159.014,159.005,159.011
2026-08-24 07:50:00+09:00,159.011,159.013,158.996,159.005
2026-08-24 07:55:00+09:00,159.005,159.015,159.004,159.012
2026-08-24 08:00:00+09:00,159.012,159.015,158.95,158.964
2026-08-24 08:05:00+09:00,158.964,158.968,158.959,158.965
2026-08-24 08:10:00+09:00,158.965,158.967,158.954,158.965
2026-08-24 08:15:00+09:00,158.965,158.971,158.963,158.968
2026-08-24 08:20:00+09:00,158.968,158.977,158.964,158.975
2026-08-24 08:25:00+09:00,158.975,158.993,158.968,158.978
2026-08-24 08:30:00+09:00,158.978,158.992,158.976,158.988
2026-08-24 08:35:00+09:00,158.988,158.994,158.98,158.993
2026-08-24 08:40:00+09:00,158.993,159.009,158.992,158.996
2026-08-24 08:45:00+09:00,158.997,159.004,158.987,158.988
2026-08-24 08:50:00+09:00,158.988,158.991,158.94,158.944
2026-08-24 08:55:00+09:00,158.945,158.95,158.88,158.885
2026-08-24 09:00:00+09:00,158.884,158.89,158.853,158.873
2026-08-24 09:05:00+09:00,158.873,158.889,158.819,158.857
2026-08-24 09:10:00+09:00,158.857,158.865,158.814,158.84
2026-08-24 09:15:00+09:00,158.84,158.841,158.804,158.828
2026-08-24 09:20:00+09:00,158.828,158.829,158.736,158.756
2026-08-24 09:25:00+09:00,158.756,158.779,158.745,158.778
2026-08-24 09:30:00+09:00,158.778,158.793,158.736,158.742
2026-08-24 09:35:00+09:00,158.742,158.766,158.718,158.738
2026-08-24 09:40:00+09:00,158.737,158.767,158.735,158.751
2026-08-24 09:45:00+09:00,158.751,158.817,158.728,158.796
2026-08-24 09:50:00+09:00,158.796,158.815,158.747,158.753
2026-08-24 09:55:00+09:00,158.753,158.789,158.708,158.731
2026-08-24 10:00:00+09:00,158.731,158.791,158.722,158.789
2026-08-24 10:05:00+09:00,158.789,158.816,158.766,158.794
2026-08-24 10:10:00+09:00,158.794,158.851,158.791,158.847
2026-08-24 10:15:00+09:00,158.847,158.89,158.847,158.879
2026-08-24 10:20:00+09:00,158.879,158.924,158.864,158.87
2026-08-24 10:25:00+09:00,158.87,158.926,158.87,158.923
2026-08-24 10:30:00+09:00,158.923,158.949,158.92,158.925
2026-08-24 10:35:00+09:00,158.924,158.949,158.923,158.933
2026-08-24 10:40:00+09:00,158.933,158.934,158.889,158.897
2026-08-24 10:45:00+09:00,158.897,158.904,158.874,158.874
2026-08-24 10:50:00+09:00,158.874,158.89,158.856,158.862
2026-08-24 10:55:00+09:00,158.862,158.866,158.833,158.846
2026-08-24 11:00:00+09:00,158.846,158.86,158.822,158.834
2026-08-24 11:05:00+09:00,158.834,158.864,158.834,158.857
2026-08-24 11:10:00+09:00,158.857,158.87,158.84,158.843
2026-08-24 11:15:00+09:00,158.843,158.857,158.813,158.844
2026-08-24 11:20:00+09:00,158.844,158.85,158.834,158.835
