timestamp,open,high,low,close,volume
2018-11-01T00:00:00,127.691,127.817,127.615,127.76,13244.1904296875
2018-11-01T01:00:00,127.76,128.02,127.72,128.004,12611.1201171875
2018-11-01T02:00:00,128.005,128.073,127.895,127.974,10693.830078125
2018-11-01T03:00:00,127.975,128.094,127.952,128.044,8729.169921875
2018-11-01T04:00:00,128.044,128.052,127.983,128.019,8363.0595703125
2018-11-01T05:00:00,128.018,128.08,127.99,128.055,9903.7802734375
2018-11-01T06:00:00,128.054,128.077,127.935,128.035,9902.0595703125
2018-11-01T07:00:00,128.034,128.274,128.001,128.259,14643.669921875
2018-11-01T08:00:00,128.257,128.46,128.189,128.438,13036.599609375
2018-11-01T09:00:00,128.438,128.598,128.411,128.576,12729.58984375
2018-11-01T10:00:00,128.576,128.597,128.427,128.48,10903.3798828125
2018-11-01T11:00:00,128.479,128.765,128.473,128.651,11120.669921875
2018-11-01T12:00:00,128.65,128.701,128.485,128.51,13379.330078125
2018-11-01T13:00:00,128.511,128.566,128.363,128.405,10999.73046875
2018-11-01T14:00:00,128.407,128.616,128.37,128.587,13552.2001953125
2018-11-01T15:00:00,128.591,128.606,128.47,128.536,14683.41015625
2018-11-01T16:00:00,128.531,128.603,128.373,128.592,10763.9697265625
2018-11-01T17:00:00,128.592,128.69,128.508,128.561,11251.3203125
2018-11-01T18:00:00,128.563,128.653,128.513,128.583,8503.169921875
2018-11-01T19:00:00,128.584,128.603,128.495,128.595,7946.43994140625
2018-11-01T20:00:00,128.591,128.613,128.489,128.565,3392.820068359375
2018-11-01T21:00:00,128.561,128.584,128.435,128.455,3582.409912109375
2018-11-01T22:00:00,128.445,128.496,128.366,128.465,2928.489990234375
2018-11-01T23:00:00,128.469,128.55,128.444,128.546,4409.990234375
2018-11-02T00:00:00,128.546,128.696,128.523,128.608,9809.73046875
2018-11-02T01:00:00,128.608,128.62,128.415,128.44,8520.5400390625
2018-11-02T02:00:00,128.44,128.536,128.421,128.496,6197.02978515625
2018-11-02T03:00:00,128.494,128.509,128.435,128.475,6392.25
2018-11-02T04:00:00,128.474,128.99,128.451,128.868,8731.2197265625
2018-11-02T05:00:00,128.87,129.143,128.87,129.069,11766.7998046875
2018-11-02T06:00:00,129.069,129.129,129.025,129.107,11121.009765625
2018-11-02T07:00:00,129.108,129.322,129.076,129.204,13278.009765625
2018-11-02T08:00:00,129.2,129.2,129.027,129.029,12871.3603515625
2018-11-02T09:00:00,129.026,129.034,128.913,128.977,11143.9501953125
2018-11-02T10:00:00,128.977,129.217,128.943,129.208,10827.4599609375
2018-11-02T11:00:00,129.208,129.272,129.175,129.204,9496.099609375
2018-11-02T12:00:00,129.203,129.247,128.96,128.975,15146.3798828125
2018-11-02T13:00:00,128.975,129.051,128.796,128.948,16589.580078125
2018-11-02T14:00:00,128.943,129.069,128.852,128.981,15857.1103515625
2018-11-02T15:00:00,128.982,128.99,128.596,128.678,16812.23046875
2018-11-02T16:00:00,128.68,128.934,128.661,128.799,12617.7099609375
2018-11-02T17:00:00,128.798,128.909,128.688,128.855,10178.58984375
2018-11-02T18:00:00,128.856,129.023,128.811,128.955,10069.650390625
2018-11-02T19:00:00,128.957,129.148,128.954,128.964,10337.7197265625
2018-11-02T20:00:00,128.965,128.999,128.87,128.879,3678.929931640625
2018-11-04T22:00:00,128.838,129.011,128.838,128.972,11583.73046875
2018-11-04T23:00:00,128.974,128.998,128.928,128.946,6214.22021484375
2018-11-05T00:00:00,128.95,129.033,128.898,129.009,8203.73046875
2018-11-05T01:00:00,129.008,129.014,128.784,128.855,8447.9296875
2018-11-05T02:00:00,128.854,128.973,128.815,128.863,9269.7998046875
2018-11-05T03:00:00,128.863,128.906,128.824,128.851,7402.3798828125
