timestamp,open,high,low,close,volume
2018-11-01T00:00:00,1.13146,1.13306,1.13126,1.13279,11239.6396484375
2018-11-01T01:00:00,1.13282,1.13381,1.13258,1.1336,11056.3896484375
2018-11-01T02:00:00,1.1336,1.13432,1.1334,1.13408,7969.580078125
2018-11-01T03:00:00,1.13407,1.13498,1.134,1.13464,6700.27001953125
2018-11-01T04:00:00,1.13463,1.13484,1.13421,1.13432,5893.0400390625
2018-11-01T05:00:00,1.13432,1.13455,1.13377,1.1342,6966.81982421875
2018-11-01T06:00:00,1.13419,1.13524,1.13381,1.13499,9947.150390625
2018-11-01T07:00:00,1.13498,1.13649,1.13474,1.13604,21286.109375
2018-11-01T08:00:00,1.13603,1.13811,1.13531,1.13781,15998.83984375
2018-11-01T09:00:00,1.13781,1.13881,1.13726,1.13801,14776.3896484375
2018-11-01T10:00:00,1.13799,1.13831,1.13684,1.1372,15212.1298828125
2018-11-01T11:00:00,1.1372,1.14035,1.1371,1.13946,14509.3896484375
2018-11-01T12:00:00,1.13946,1.14042,1.13857,1.13874,17918.529296875
2018-11-01T13:00:00,1.13873,1.13961,1.1385,1.13931,13448.75
2018-11-01T14:00:00,1.13936,1.14131,1.13929,1.14085,15452.2099609375
2018-11-01T15:00:00,1.14086,1.14109,1.13943,1.13963,14925.2802734375
2018-11-01T16:00:00,1.13964,1.14099,1.13899,1.14074,11800.169921875
2018-11-01T17:00:00,1.14074,1.14241,1.14055,1.14107,13278.6103515625
2018-11-01T18:00:00,1.14107,1.14167,1.14045,1.14085,8769.25
2018-11-01T19:00:00,1.14085,1.14134,1.14059,1.14104,7595.47021484375
2018-11-01T20:00:00,1.14104,1.14115,1.14064,1.14077,3986.090087890625
2018-11-01T21:00:00,1.14074,1.1413,1.13995,1.14024,3833.31005859375
2018-11-01T22:00:00,1.14026,1.14079,1.14015,1.14042,2142.7900390625
2018-11-01T23:00:00,1.14044,1.14054,1.1402,1.14027,2000.4000244140625
2018-11-02T00:00:00,1.14028,1.14056,1.13996,1.14012,5815.66015625
2018-11-02T01:00:00,1.14012,1.14014,1.13911,1.13931,5905.33984375
2018-11-02T02:00:00,1.13931,1.13987,1.13921,1.13967,4957.419921875
2018-11-02T03:00:00,1.13968,1.14021,1.13946,1.14001,5268.419921875
2018-11-02T04:00:00,1.14002,1.14176,1.13982,1.14089,7914.580078125
2018-11-02T05:00:00,1.14089,1.14282,1.14076,1.14243,11302.5498046875
2018-11-02T06:00:00,1.14243,1.14298,1.14175,1.14201,9070.259765625
2018-11-02T07:00:00,1.14201,1.1443,1.14171,1.14373,15339.9296875
2018-11-02T08:00:00,1.14372,1.1443,1.143,1.14302,12953.25
2018-11-02T09:00:00,1.14301,1.14447,1.14237,1.14381,11746.9697265625
2018-11-02T10:00:00,1.14381,1.14498,1.1435,1.14493,11001.5
2018-11-02T11:00:00,1.14494,1.14557,1.14435,1.14455,10125.099609375
2018-11-02T12:00:00,1.14454,1.14504,1.14107,1.14172,17229.390625
2018-11-02T13:00:00,1.14171,1.14232,1.14051,1.14174,17469.130859375
2018-11-02T14:00:00,1.14174,1.14311,1.14161,1.14192,16038.16015625
2018-11-02T15:00:00,1.14192,1.14193,1.13735,1.13779,18722.5
2018-11-02T16:00:00,1.13777,1.13859,1.13722,1.13857,14331.3603515625
2018-11-02T17:00:00,1.13856,1.13862,1.13756,1.1383,10899.5400390625
2018-11-02T18:00:00,1.13827,1.1389,1.13787,1.13851,10201.23046875
2018-11-02T19:00:00,1.13853,1.14003,1.1385,1.13951,10982.7998046875
2018-11-02T20:00:00,1.13951,1.13969,1.13858,1.1386,4534.16015625
2018-11-04T22:00:00,1.13863,1.13963,1.13862,1.13909,7428.009765625
2018-11-04T23:00:00,1.13908,1.13993,1.13908,1.13976,3565.580078125
2018-11-05T00:00:00,1.13975,1.13978,1.1393,1.13954,5035.66015625
2018-11-05T01:00:00,1.13954,1.13955,1.13848,1.13891,6185.10986328125
2018-11-05T02:00:00,1.13892,1.13923,1.13836,1.13842,6834.2900390625
2018-11-05T03:00:00,1.13842,1.13877,1.13827,1.13832,5318.3798828125
2018-11-05T04:00:00,1.13832,1.13876,1.13829,1.13846,4666.669921875
2018-11-05T05:00:00,1.13846,1.13915,1.13838,1.13899,5556.22021484375
2018-11-05T06:00:00,1.139,1.1397,1.13881,1.13884,8006.89990234375
2018-11-05T07:00:00,1.13885,1.13987,1.13775,1.13816,10276.1396484375
2018-11-05T08:00:00,1.13819,1.13945,1.13788,1.13814,10779.4501953125
2018-11-05T09:00:00,1.13814,1.13857,1.13745,1.13814,10516.76953125
2018-11-05T10:00:00,1.13814,1.13877,1.13767,1.13835,10894.849609375
