timestamp,open,high,low,close,volume
2018-11-01T00:00:00,144.084,144.95,144.023,144.85,12240.849609375
2018-11-01T01:00:00,144.864,145.101,144.807,145.076,10881.259765625
2018-11-01T02:00:00,145.079,145.19,144.954,144.973,9343.7099609375
2018-11-01T03:00:00,144.972,145.085,144.919,145.025,6185.52978515625
2018-11-01T04:00:00,145.025,145.058,144.965,144.977,5650.64013671875
2018-11-01T05:00:00,144.977,145.128,144.927,145.059,6301.22998046875
2018-11-01T06:00:00,145.058,145.209,144.892,145.115,6973.509765625
2018-11-01T07:00:00,145.116,145.449,145.08,145.443,11845.490234375
2018-11-01T08:00:00,145.443,145.818,145.336,145.722,13682.1396484375
2018-11-01T09:00:00,145.722,145.839,145.471,145.821,12837.58984375
2018-11-01T10:00:00,145.818,145.864,145.186,145.403,13103.490234375
2018-11-01T11:00:00,145.402,145.815,145.308,145.651,12070.51953125
2018-11-01T12:00:00,145.673,145.965,145.594,145.696,14535.5302734375
2018-11-01T13:00:00,145.696,145.803,145.472,145.485,11250.900390625
2018-11-01T14:00:00,145.489,145.963,145.441,145.952,13675.1201171875
2018-11-01T15:00:00,145.955,146.346,145.833,146.327,12736.7998046875
2018-11-01T16:00:00,146.325,146.533,146.153,146.499,10290.830078125
2018-11-01T17:00:00,146.502,146.606,146.34,146.493,10073.9296875
2018-11-01T18:00:00,146.495,146.89,146.46,146.711,7724.47021484375
2018-11-01T19:00:00,146.712,146.719,146.552,146.644,7386.68017578125
2018-11-01T20:00:00,146.641,146.659,146.446,146.538,4732.16015625
2018-11-01T21:00:00,146.539,146.549,146.36,146.393,4684.14990234375
2018-11-01T22:00:00,146.39,146.442,146.283,146.407,3348.75
2018-11-01T23:00:00,146.406,146.587,146.381,146.579,3413.639892578125
2018-11-02T00:00:00,146.58,146.71,146.511,146.574,11050.4404296875
2018-11-02T01:00:00,146.574,146.6,146.384,146.415,7719.0400390625
2018-11-02T02:00:00,146.415,146.514,146.385,146.461,5409.490234375
2018-11-02T03:00:00,146.461,146.465,146.364,146.404,5119.02978515625
2018-11-02T04:00:00,146.404,146.912,146.336,146.823,8473.669921875
2018-11-02T05:00:00,146.825,147.027,146.825,146.966,11529.5400390625
2018-11-02T06:00:00,146.967,147.011,146.837,146.968,8475.51953125
2018-11-02T07:00:00,146.97,147.254,146.925,147.164,12215.4296875
2018-11-02T08:00:00,147.161,147.228,147.004,147.024,12915.740234375
2018-11-02T09:00:00,147.02,147.079,146.832,146.899,11917.8896484375
2018-11-02T10:00:00,146.9,147.08,146.861,147.024,9846.4296875
2018-11-02T11:00:00,147.025,147.08,146.918,146.982,10847.1796875
2018-11-02T12:00:00,146.983,147.031,146.601,146.769,16153.900390625
2018-11-02T13:00:00,146.769,146.871,146.611,146.773,16204.099609375
2018-11-02T14:00:00,146.772,146.885,146.509,146.662,14680.9296875
2018-11-02T15:00:00,146.664,146.843,146.524,146.629,19301.5390625
2018-11-02T16:00:00,146.632,146.877,146.588,146.685,13260.9697265625
2018-11-02T17:00:00,146.684,146.759,146.565,146.701,11096.6396484375
2018-11-02T18:00:00,146.702,146.916,146.602,146.813,11165.25
2018-11-02T19:00:00,146.812,146.92,146.769,146.777,8607.509765625
2018-11-02T20:00:00,146.779,146.861,146.677,146.695,3381.510009765625
2018-11-04T22:00:00,147.33,147.364,147.147,147.283,9354.83984375
2018-11-04T23:00:00,147.283,147.284,147.13,147.137,4476.7001953125
2018-11-05T00:00:00,147.141,147.213,147.076,147.189,8288.3603515625
2018-11-05T01:00:00,147.189,147.201,146.962,147.01,7883.1201171875
2018-11-05T02:00:00,147.009,147.113,146.948,147.003,8322.169921875
2018-11-05T03:00:00,147.002,147.04,146.945,146.974,6363.06982421875
2018-11-05T04:00:00,146.972,147.055,146.96,147.026,4904.93994140625
2018-11-05T05:00:00,147.025,147.163,146.976,147.111,6716.68017578125
2018-11-05T06:00:00,147.11,147.443,147.053,147.348,7153.60009765625
2018-11-05T07:00:00,147.351,147.442,147.174,147.23,8874.83984375
2018-11-05T08:00:00,147.231,147.262,146.936,147.047,11088.51953125
2018-11-05T09:00:00,147.047,147.33,146.867,147.312,10542.9404296875
2018-11-05T10:00:00,147.312,147.494,147.233,147.481,8255.3603515625
2018-11-05T11:00:00,147.48,147.51,147.23,147.274,7918.9599609375
2018-11-05T12:00:00,147.271,147.324,146.851,147.06,8397.4697265625
2018-11-05T13:00:00,147.063,147.393,147.041,147.331,8489.0703125
2018-11-05T14:00:00,147.326,147.465,147.276,147.376,8934.2900390625
2018-11-05T15:00:00,147.38,147.458,147.274,147.359,10559.5703125
2018-11-05T16:00:00,147.356,147.562,147.315,147.398,8932.73046875
2018-11-05T17:00:00,147.399,147.409,147.283,147.308,5732.27001953125
2018-11-05T18:00:00,147.308,147.657,147.285,147.64,6279.18017578125
2018-11-05T19:00:00,147.64,147.804,147.587,147.782,5607.18017578125
2018-11-05T20:00:00,147.783,147.793,147.601,147.628,4688.3701171875
